beat,block,day,tract,600ft,1200ft,1800ft,2400ft,3000ft
1621,1204003000,1,120400,0.0,0.0,0.583333333339,0.0,0.0
1621,1204003000,4,120400,0.0,0.0,0.0,0.0,0.0
1621,1204003000,7,120400,0.0,0.0,0.0,0.0,0.0
1621,1204003000,10,120400,0.0,0.0,0.0,0.0,0.0
1621,1204003000,13,120400,0.0,0.0,0.0,0.0,0.0
1233,3106002000,1,310600,0.0,0.0,0.0,0.0,0.0
1233,3106002000,4,310600,0.0,0.0,0.0,1.125,0.0
1233,3106002000,7,310600,0.0,0.0,0.0,0.0,0.0
1233,3106002000,10,310600,0.0,0.0,0.0,0.0,0.0
1233,3106002000,13,310600,0.0,0.0,0.0,0.659722222224,0.0
1233,3106002009,1,310600,0.0,0.0,0.0,0.0,0.0
1233,3106002009,4,310600,0.0,1.86,0.0,0.0,0.0
1233,3106002009,7,310600,0.0,0.0,0.0,0.0,0.0
1233,3106002009,10,310600,0.0,0.0,0.0,0.0,0.0
1233,3106002009,13,310600,0.0,0.840136054424,0.0,0.0,0.0
2514,1903003014,1,190300,0.0,0.0,0.0,0.0,0.0
2514,1903003014,4,190300,0.0,0.0,0.0,0.0,0.0
2514,1903003014,7,190300,0.0,0.0,0.0,0.0,0.0
2514,1903003014,10,190300,0.0,0.0,0.0,0.0,1.05404142657
2514,1903003014,13,190300,0.0,0.0,0.0,0.0,0.0
1523,2519002005,1,251900,0.0,0.0,0.0,0.0,0.0
1523,2519002005,4,251900,0.0,0.0,0.0,0.0,0.0
1523,2519002005,7,251900,0.0,0.0,0.0,0.0,0.0
1523,2519002005,10,251900,0.0,0.0,0.0,0.992585269403,0.0
1523,2519002005,13,251900,0.0,0.0,0.0,0.0,0.0
1711,1301003002,1,130100,0.0,0.0,0.0,0.0,0.0
1711,1301003002,4,130100,0.0,0.0,0.0,0.0,0.0
1711,1301003002,7,130100,0.0,0.0,0.0,0.0,1.0067664548
1711,1301003002,10,130100,0.0,1.10117618819,0.0,0.0,0.0
1711,1301003002,13,130100,0.0,0.0,0.0,0.0,0.0
2521,1902003002,1,190200,0.0,0.0,0.0,0.0,0.0
2521,1902003002,4,190200,0.0,0.0,0.0,0.0,0.0
2521,1902003002,7,190200,0.0,0.0,0.0,0.0,0.0
2521,1902003002,10,190200,0.0,0.0,1.02920922759,0.0,0.0
2521,1902003002,13,190200,0.0,0.0,0.0,0.0,0.0
2024,312004003,1,31200,0.0,0.0,0.0,0.0,0.0
2024,312004003,4,31200,0.0,0.0,0.0,0.0,0.0
2024,312004003,7,31200,0.0,0.905405405404,0.0,0.0,0.0
2024,312004003,10,31200,0.0,0.0,0.0,0.0,0.0
2024,312004003,13,31200,0.0,0.0,0.0,0.0,0.0
1212,2425002017,1,242500,0.0,0.0,0.0,0.0,0.0
1212,2425002017,4,242500,0.0,0.882936870997,0.0,0.0,1.01100866043
1212,2425002017,7,242500,1.11901473297,0.0,0.0,0.993992828362,0.0
1212,2425002017,10,242500,0.0,0.0,0.996000475189,0.0,0.0
1212,2425002017,13,242500,0.0,0.0,0.0,0.0,0.0
1211,2425002015,1,242500,0.0,0.0,0.0,0.0,0.0
1211,2425002015,4,242500,0.0,0.0,0.971616827167,0.0,0.0
1211,2425002015,7,242500,0.0,0.884841992503,0.0,0.0,0.977836329823
1211,2425002015,10,242500,0.0,0.0,0.0,0.992461583072,0.0
1211,2425002015,13,242500,0.0,0.0,0.0,0.0,0.0
2433,302001018,1,30200,0.0,0.0,0.0,0.0,0.0
2433,302001018,4,30200,0.0,0.0,1.11728395062,0.0,1.11632653061
2433,302001018,7,30200,0.0,1.30499219969,0.0,0.916104868914,0.0
2433,302001018,10,30200,0.0,0.0,0.0,0.0,0.0
2433,302001018,13,30200,0.0,0.0,0.0,0.0,0.0
411,8343006023,1,834300,0.0,0.0,0.0,0.0,1.74496644293
411,8343006023,4,834300,0.0,0.0,0.0,0.0,0.0
411,8343006023,7,834300,0.0,0.0,0.0,0.0,0.920993733215
411,8343006023,10,834300,0.0,0.0,0.0,1.02993870816,0.0
411,8343006023,13,834300,0.0,0.0,0.0,0.0,0.0
631,4403005011,1,440300,0.0,0.0,0.0,0.0,0.0
631,4403005011,4,440300,0.0,0.0,0.0,0.0,0.0
631,4403005011,7,440300,0.0,0.0,0.0,0.0,0.998956158664
631,4403005011,10,440300,0.0,0.0,0.0,0.0,0.0
631,4403005011,13,440300,0.0,0.0,0.0,0.0,0.0
924,6104001006,1,610400,0.0,0.0,-0.0,0.0,0.0
924,6104001006,4,610400,0.0,0.0,0.0,0.0,0.0
924,6104001006,7,610400,0.0,0.0,0.0,0.0,0.0
924,6104001006,10,610400,0.0,0.0,0.0,0.0,0.0
924,6104001006,13,610400,0.0,0.0,0.0,1.07638888889,0.0
631,4403004010,1,440300,0.0,0.0,0.0,0.0,0.0
631,4403004010,4,440300,0.0,0.0,0.0,0.0,0.0
631,4403004010,7,440300,0.81746633795,0.0,0.0,0.0,0.998956158664
631,4403004010,10,440300,0.0,0.0,0.0,0.0,0.0
631,4403004010,13,440300,0.0,0.0,0.0,0.0,0.0
2411,203023008,1,20302,0.0,0.0,0.0,0.0,0.0
2411,203023008,4,20302,0.0,0.0,0.0,0.0,0.0
2411,203023008,7,20302,0.0,0.0,0.0,0.0,0.0
2411,203023008,10,20302,0.0,0.0,0.0,0.0,0.0
2411,203023008,13,20302,0.0,0.0,0.0,0.0,0.0
