# beat,block,tract,knox_sums,Jan_Mar_ave,Apr_Jun_ave,Jul_Sep_ave,Oct_Dec_ave,expburgs,baseline
1112.0, 2312003002.0, 231200.0, 1.89998423956, 0.111111, 0.133333, 0.055556, 0.022222, 0.00555550391689, 0.00292397368421
1112.0, 2312001013.0, 231200.0, 0.0, 0.111111, 0.133333, 0.055556, 0.022222, 0.0, 0.00292397368421
1112.0, 2312004014.0, 231200.0, 0.527397260275, 0.111111, 0.133333, 0.055556, 0.022222, 0.00154209571017, 0.00292397368421
1112.0, 2312004013.0, 231200.0, 0.0, 0.111111, 0.133333, 0.055556, 0.022222, 0.0, 0.00292397368421
1112.0, 2312004012.0, 231200.0, 0.527397260275, 0.111111, 0.133333, 0.055556, 0.022222, 0.00154209571017, 0.00292397368421
1112.0, 2312005015.0, 231200.0, 0.0, 0.111111, 0.133333, 0.055556, 0.022222, 0.0, 0.00292397368421
1112.0, 2312002006.0, 231200.0, 0.962962962963, 0.111111, 0.133333, 0.055556, 0.022222, 0.00281567836257, 0.00292397368421
814.0, 8352001020.0, 835200.0, 0.0, 0.022222, 0.066667, 0.055556, 0.066667, 0.0, 0.000584789473684
814.0, 8352001011.0, 835200.0, 0.0, 0.022222, 0.066667, 0.055556, 0.066667, 0.0, 0.000584789473684
815.0, 8352001047.0, 835200.0, 0.0, 0.022222, 0.066667, 0.055556, 0.066667, 0.0, 0.000584789473684
815.0, 8352001038.0, 835200.0, 0.0, 0.022222, 0.066667, 0.055556, 0.066667, 0.0, 0.000584789473684
831.0, 6608004002.0, 660800.0, 0.889957766308, 0.155556, 0.133333, 0.222222, 0.211111, 0.00364311237621, 0.00409357894737
831.0, 6608004000.0, 660800.0, 0.889957766308, 0.155556, 0.133333, 0.222222, 0.211111, 0.00364311237621, 0.00409357894737
831.0, 6608004001.0, 660800.0, 0.0, 0.155556, 0.133333, 0.222222, 0.211111, 0.0, 0.00409357894737
831.0, 6608004007.0, 660800.0, 1.05191370913, 0.155556, 0.133333, 0.222222, 0.211111, 0.00430609181414, 0.00409357894737
831.0, 6608003007.0, 660800.0, 1.05191370913, 0.155556, 0.133333, 0.222222, 0.211111, 0.00430609181414, 0.00409357894737
831.0, 6608003009.0, 660800.0, 1.05191370913, 0.155556, 0.133333, 0.222222, 0.211111, 0.00430609181414, 0.00409357894737
831.0, 6608005013.0, 660800.0, 1.04924257406, 0.155556, 0.133333, 0.222222, 0.211111, 0.00429515731185, 0.00409357894737
831.0, 6608005010.0, 660800.0, 1.04924257406, 0.155556, 0.133333, 0.222222, 0.211111, 0.00429515731185, 0.00409357894737
831.0, 6608005015.0, 660800.0, 1.05191370913, 0.155556, 0.133333, 0.222222, 0.211111, 0.00430609181414, 0.00409357894737
831.0, 6608005007.0, 660800.0, 0.0, 0.155556, 0.133333, 0.222222, 0.211111, 0.0, 0.00409357894737
