beat,time,knox600ft,knox1200ft,knox1800ft,knox2400ft,knox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat2232,4,5.20212765957,9.68085106383,17.7978723404,23.0212765957,29.7872340426,0.02000000,0.07000000,0.19000000,0.30000000,0.38000000
beat2232,7,6.77659574468,14.4468085106,28.5106382979,40.8510638298,52.7553191489,0.02000000,0.12000000,0.18000000,0.10000000,0.04000000
beat2232,10,9.18085106383,18.1808510638,33.8617021277,50.3829787234,65.3404255319,0.02000000,0.12000000,0.33000000,0.11000000,0.10000000
beat2232,13,10.0425531915,22.9042553191,45.7234042553,64.170212766,85.2765957447,0.02000000,0.12000000,0.23000000,0.13000000,0.09000000
beat2513,1,1.07692307692,4.70512820513,6.30769230769,11.5256410256,16.2051282051,0.62000000,0.31000000,0.73000000,0.50000000,0.46000000
beat2513,4,0.807692307692,7.64102564103,10.9487179487,17.8974358974,26.2435897436,0.81000000,0.22000000,0.67000000,0.51000000,0.14000000
beat2513,7,3.33333333333,13.8461538462,21.7307692308,34.0641025641,46.8205128205,0.66000000,0.19000000,0.60000000,0.46000000,0.03000000
beat2513,10,4.05128205128,18.2307692308,28.3333333333,43.4358974359,63.5512820513,0.78000000,0.16000000,0.66000000,0.43000000,0.05000000
beat2513,13,4.37179487179,20.9615384615,34.7564102564,54.4743589744,74.4102564103,0.84000000,0.28000000,0.59000000,0.39000000,0.05000000
beat2515,1,3.28676470588,12.1470588235,17.8235294118,22.9779411765,26.9411764706,0.27000000,0.07000000,0.15000000,0.24000000,0.23000000
beat2515,4,12.6764705882,35.9705882353,49.75,66.4411764706,84.3676470588,0.01000000,0.08000000,0.07000000,0.09000000,0.27000000
beat2515,7,20.0882352941,73.1544117647,94.8676470588,124.632352941,163.772058824,0.02000000,0.02000000,0.04000000,0.20000000,0.26000000
beat2515,10,26.6764705882,94.2794117647,124.117647059,169.514705882,220.713235294,0.03000000,0.02000000,0.05000000,0.05000000,0.04000000
beat2515,13,30.6176470588,113.757352941,157.889705882,208.566176471,273.389705882,0.10000000,0.01000000,0.03000000,0.04000000,0.01000000
beat725,1,6.11666666667,12.4083333333,17.925,24.0833333333,29.3083333333,0.05000000,0.17000000,0.16000000,0.83000000,0.16000000
beat725,4,14.1583333333,30.075,50.925,65.0166666667,75.1083333333,0.02000000,0.11000000,0.11000000,0.46000000,0.21000000
