beat,block,tract,knox_sum
524,5302004039,530200,3.78186935996
1112,2312003002,231200,2.82657555263
1231,8329001009,832900,1.55718954248
2233,4912002008,491200,1.70930702599
324,4304003002,430400,4.36473378125
732,6813001003,681300,11.0695546088
732,6813001001,681300,12.4853939195
624,4401014005,440101,11.415079241
2433,303002003,30300,3.28151662193
732,6813001006,681300,10.6032863442
431,5102001018,510200,2.5615478064
831,6605002012,660500,3.00268243853
621,7108004013,710800,2.12075826263
431,5102001012,510200,1.96879264714
631,4401014008,440101,9.80873652801
2433,303002008,30300,3.18699471813
632,4406002010,440600,0.0
1821,803004005,80300,0.833333333333
1821,803004000,80300,0.833333333333
331,4301023002,430102,5.97669957864
1634,1508002003,150800,6.35507005327
1222,8378001007,837800,0.0
122,8391001013,839100,3.16935331825
723,6811004010,681100,11.7195720072
1915,321003004,32100,4.00998894783
1215,2434002012,243400,4.68618636312
915,8400001018,840000,1.67567567568
623,6912002021,691200,4.38011542202
1132,2607002005,260700,4.81517673235
2532,2507002011,250700,2.98247889725
1212,2425001018,242500,7.12834535217
1221,2429001000,242900,8.87870888313
423,4604004012,460400,0.940154530553
233,8363001002,836300,4.70750895259
1733,2101002009,210100,2.54353684697
1012,2925002019,292500,0.0
1023,2916001004,291600,4.74025233765
2212,7207001013,720700,0.0
412,4801001013,480100,0.0
1022,8415002023,841500,5.26736334369
631,4402011011,440201,9.8133378911
624,4402011013,440201,9.09502792225
831,6608003007,660800,2.00731438506
2011,402012007,40201,0.0
1011,2909004013,290900,3.1071822551
1011,2909004011,290900,3.1071822551
1931,707001002,70700,0.0
2032,404024003,40402,0.0
832,6609001007,660900,5.82785643009
831,6608003009,660800,1.96663894052
1612,1003006010,100300,0.0
815,5705002024,570500,4.59587748732
922,8428004006,842800,0.974185917057
1934,632006000,63200,3.04617956021
623,6913002018,691300,0.961538461538
312,4208001015,420800,8.00729018657
733,6811003012,681100,10.8284581762
322,6905001017,690500,3.63618911281
1813,8326001006,832600,0.0
1813,8326001003,832600,2.03125
1813,8326001001,832600,2.03125
1733,1607002011,160700,1.70328223165
522,5302002001,530200,0.980661956113
1111,8421006006,842100,3.2595651312
323,6910004003,691000,3.85406816153
2411,202004017,20200,0.0
624,4401011005,440101,10.2922081304
2525,2004023006,200402,2.0017639126
214,8364003011,836400,4.40228784496
522,5302002004,530200,1.06668277362
132,3301004055,330100,6.5357764557
613,7110003002,711000,3.00245795366
123,8390002000,839000,0.941000000001
611,7105002003,710500,3.9605888566
523,5305032060,530503,2.11679817642
532,5306001015,530600,1.00354609926
1215,2433002003,243300,3.65915336922
2232,7305003008,730500,2.11164033151
2521,1902003002,190200,1.03099123235
232,8345001022,834500,4.97726613185
814,8352001011,835200,1.05924855491
2232,7305003003,730500,2.11164033151
524,5303001007,530300,0.986792893875
823,6606004011,660600,3.13024599016
823,6606004010,660600,3.13024599016
524,5303001003,530300,3.10850333856
1413,2211003007,221100,2.94112785292
1413,2211003006,221100,2.94112785292
921,5807002011,580700,5.27168002999
321,8344003009,834400,6.23164382796
921,5807002015,580700,5.24909070704
2023,307031002,30703,0.0
1022,8416001013,841600,4.23665563532
2514,1907011006,190701,0.0
1732,1608005008,160800,1.20156888595
1022,8416001016,841600,4.97943025267
1022,8416001015,841600,4.97943025267
224,3818001004,381800,0.0
1232,8331001016,833100,5.58237327189
824,8351001034,835100,0.0
1623,1204003016,120400,1.93526785714
715,6704001026,670400,1.10664062499
1432,8309001038,830900,1.85744770642
512,4909023012,490902,11.48170288
512,4909023016,490902,9.32190913672
512,4909023015,490902,9.01945214068
512,4909023019,490902,9.24855249433
1822,8422001003,842200,1.42857142857
2413,207023005,20702,0.965786094294
1822,8422001006,842200,2.33333333334
1631,1704003003,170400,0.0
235,4111002000,411100,1.00872600349
1731,1613003015,161300,1.85866604583
2234,7501002014,750100,3.0022348421
1212,2425002000,242500,6.08140744555
734,8349001009,834900,7.53036325964
1115,2606001010,260600,5.98949579832
1115,2606001011,260600,4.11151960784
323,6909004011,690900,1.90830100161
914,8411002010,841100,4.95949447432
1121,8366001031,836600,1.73435491645
611,7104005008,710400,4.21967685706
1613,1007002012,100700,1.8628909023
1132,2610002008,261000,2.6097457839
512,4910004000,491000,8.78425450049
512,4910004002,491000,6.72228790691
1132,2610002005,261000,2.52829959038
1232,8331001001,833100,3.12527364226
2223,7305004031,730500,4.46893613312
2513,2505003020,250500,1.0795090715
522,5302001018,530200,1.7372644345
522,5302001017,530200,0.916751613995
1023,8407003008,840700,2.96906163643
815,6202002013,620200,3.60561973247
1225,2828001014,282800,0.0
432,5201001041,520100,1.578125
1924,615001004,61500,2.95365134107
432,5201001042,520100,2.86091188523
513,4909012023,490901,4.98197916031
1613,1007002005,100700,1.98655411462
321,8344002018,834400,5.15402641496
321,8344002016,834400,6.99575041382
624,4402014002,440201,5.05172109192
1424,2413001008,241300,5.76557573249
824,6308003003,630800,0.970218960388
824,6308003001,630800,0.0
