beat,time,eknox600ft,eknox1200ft,eknox1800ft,eknox2400ft,eknox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat1223,4,9.78571428571,25.3333333333,45.5238095238,59.0,73.9523809524,0.31000000,0.01000000,0.01000000,0.16000000,0.72000000
beat1223,7,14.7619047619,34.119047619,61.7380952381,78.6904761905,102.571428571,0.47000000,0.04000000,0.03000000,0.13000000,0.76000000
beat1223,10,21.2857142857,51.3571428571,90.1428571429,120.380952381,152.857142857,0.30000000,0.13000000,0.04000000,0.10000000,0.73000000
beat1223,13,25.9047619048,65.7380952381,109.047619048,145.976190476,185.238095238,0.48000000,0.21000000,0.06000000,0.36000000,0.75000000
beat1833,1,8.5,12.6111111111,17.6111111111,20.0,20.0,0.20000000,0.33000000,0.31000000,1.00000000,1.00000000
beat1833,4,16.5277777778,25.9166666667,41.0555555556,46.0,46.0,0.02000000,0.24000000,0.04000000,1.00000000,1.00000000
beat1833,7,33.3888888889,49.4166666667,70.2222222222,84.0,84.0,0.39000000,0.29000000,0.06000000,1.00000000,1.00000000
beat1833,10,43.8333333333,59.0277777778,93.1111111111,108.0,108.0,0.12000000,0.22000000,0.06000000,1.00000000,1.00000000
beat1833,13,48.4444444444,65.7777777778,106.916666667,126.0,126.0,0.06000000,0.08000000,0.05000000,1.00000000,1.00000000
beat2234,1,1.77419354839,4.43548387097,8.14516129032,14.4677419355,19.2580645161,0.04000000,0.37000000,0.71000000,0.73000000,0.84000000
beat2234,4,3.98387096774,10.1774193548,22.2741935484,34.5483870968,45.2419354839,0.05000000,0.26000000,0.41000000,0.33000000,0.68000000
beat2234,7,6.48387096774,17.5483870968,31.9677419355,58.0967741935,71.935483871,0.04000000,0.07000000,0.35000000,0.32000000,0.86000000
beat2234,10,9.35483870968,27.0806451613,57.9516129032,84.9516129032,114.822580645,0.06000000,0.08000000,0.38000000,0.60000000,0.76000000
beat2234,13,14.6612903226,35.4677419355,74.3387096774,107.209677419,146.725806452,0.02000000,0.07000000,0.32000000,0.42000000,0.43000000
beat1134,1,0.47619047619,1.42857142857,3.0,3.80952380952,3.90476190476,0.05000000,0.04000000,0.11000000,0.22000000,0.04000000
