ca, time, knox600ft, knox1200ft, knox1800ft, knox2400ft, knox3000ft, p600ft, p1200ft, p1800ft, p2400ft, p3000ft
ca21,1,2.101648352,1.064733,0.952274755,0.8039801,0.835337769,0.01,0.02,0.08,0.37,0.66
ca21,4,0.86806342,0.971995001,0.975020684,0.941325145,0.974875297,0.05,0.17,0.29,0.65,0.65
ca21,7,0.953488372,0.93082161,0.94618247,0.929643937,0.987056252,0.12,0.62,0.59,0.77,0.75
ca21,10,1.046458924,0.983295092,1.022421842,0.983278146,1.040457026,0.09,0.41,0.44,0.69,0.38
ca21,13,0.947887324,1.072988707,1.043960936,1.007523611,1.046005112,0.15,0.05,0.13,0.31,0.25
ca22,1,1.517732693,0.981663529,0.997995418,1.021287148,0.941389857,0.01,0.07,0.14,0.17,0.23
ca22,4,1.235806481,1.00841857,1.011895613,1.013745704,1.014394119,0.01,0.1,0.21,0.12,0.12
ca22,7,1.04262437,0.956407998,0.988808096,0.964549171,0.962044417,0.01,0.26,0.33,0.67,0.71
ca22,10,1.376232973,0.997314146,1.014542044,0.984115398,0.995554254,0.01,0.13,0.22,0.63,0.64
ca22,13,0.955724876,0.948838891,0.977138822,0.968227437,0.99694292,0.01,0.27,0.44,0.64,0.65
ca23,1,2.022296015,0.942603348,0.91922505,1.158653846,0.692049205,0.01,0.02,0.14,0.02,0.62
ca23,4,0.975067066,0.974937664,1.007484627,1.050581336,0.962269318,0.02,0.12,0.19,0.02,0.52
ca23,7,0.992102263,1.032831709,1.027479711,1.036850308,0.950354312,0.02,0.05,0.09,0.05,0.58
ca23,10,1.168783586,1.060266376,1.038060252,1.061254516,0.96907012,0.03,0.04,0.06,0.01,0.45
ca23,13,0.914563301,1.031012963,0.997714926,1.026821783,0.93036425,0.02,0.03,0.12,0.05,0.53
ca24,1,1.428231338,1.007821734,1.022733785,1.010543269,0.959302709,0.01,0.02,0.01,0.03,0.2
ca24,4,1.122146086,1.043961097,1.058806528,1.024091898,0.995172688,0.01,0.01,0.01,0.02,0.26
ca24,7,1.165440014,1.034832441,1.029117797,0.991751137,0.995760308,0.01,0.01,0.01,0.08,0.13
ca24,10,1.045010366,1.019184768,1.024035417,0.997804081,0.998313796,0.01,0.01,0.01,0.04,0.05
ca24,13,1.124010267,1.013608497,1.019389333,0.989062727,0.999765709,0.01,0.01,0.01,0.05,0.04
ca25,1,1.26531676,1.210887361,1.152066901,1.079603301,1.07626052,0.04,0.01,0.01,0.02,0.01
ca25,4,1.190732497,1.03403299,0.98862827,0.986181298,1.014142111,0.02,0.12,0.24,0.15,0.04
ca25,7,1.294738878,1.095984013,1.059968176,1.057101355,1.06005551,0.01,0.01,0.01,0.01,0.02
ca25,10,1.154275093,1.054750388,1.021112191,1.016466047,1.034453188,0.01,0.01,0.02,0.01,0.01
ca25,13,1.14847199,1.026777067,1.004626037,1.006359324,1.029499989,0.01,0.02,0.01,0.03,0.01
ca26,1,1.486153846,0.986127168,0.822212467,1.000752106,1.030138133,0.09,0.17,0.56,0.53,0.42
ca26,4,0.82971464,0.901119139,1.00706317,0.969754253,0.977596703,0.49,0.69,0.32,0.76,0.82
ca26,7,0.790201005,0.956751159,1.069628497,0.999296822,1.008278597,0.75,0.64,0.23,0.53,0.53
ca26,10,0.532319392,0.937622674,1.036138199,0.969516124,0.966335298,0.95,0.91,0.44,0.43,0.76
ca26,13,0.828469751,0.986260891,1.028859593,0.987755454,0.982950479,0.99,0.77,0.71,0.58,0.6
ca27,1,2.215566714,1.126841538,0.92100651,1.04437472,0.928477936,0.01,0.01,0.02,0.03,0.09
ca27,4,1.228,1.097469318,1.05315993,1.022096867,1.000252595,0.01,0.01,0.01,0.07,0.16
ca27,7,1.160121552,1.059243324,1.016784839,0.968636111,1.004938439,0.01,0.01,0.03,0.13,0.09
ca27,10,0.622294917,0.986077482,1.041458222,0.980258531,1.013689328,0.03,0.07,0.02,0.15,0.08
ca27,13,0.951802179,1.003079666,1.046515661,0.955973976,1.029675244,0.03,0.11,0.02,0.28,0.1
ca28,1,2.050043898,1.21323043,0.8413371,1.031485468,0.843304464,0.01,0.01,0.05,0.01,0.1
ca28,4,1.059354986,1.080387307,1.026835658,1.061441459,1.002569886,0.01,0.01,0.02,0.02,0.16
ca28,7,1.247487437,1.107257805,1.055606909,1.046218984,0.982711869,0.01,0.01,0.02,0.02,0.05
ca28,10,1.171258847,1.102505695,1.076529317,1.074342127,1.030062239,0.01,0.01,0.01,0.01,0.02
ca28,13,1.219504951,1.105369429,1.041512055,1.024491546,0.978326853,0.01,0.01,0.02,0.01,0.03
ca29,1,1.361842904,1.137631579,1.067073171,1.039271412,0.980492077,0.01,0.03,0.01,0.02,0.02
ca29,4,1.212148157,1.06651646,1.035977843,1.011572838,0.992227006,0.01,0.05,0.02,0.04,0.16
ca29,7,1.011457708,1.03894081,1.035879492,1.028663573,1.004620787,0.01,0.03,0.02,0.01,0.1
ca29,10,0.886005673,1.040314833,1.025433295,1.025125729,0.991254428,0.09,0.01,0.03,0.01,0.04
ca29,13,0.956876877,1.059736804,1.013220249,1.003143242,0.989431773,0.08,0.02,0.02,0.05,0.06
ca30,1,1.737370838,1.209043816,0.996591426,0.820176457,0.875156904,0.03,0.01,0.02,0.23,0.63
ca30,4,1.049906091,1.076088633,0.945874749,0.941310093,0.961388011,0.06,0.07,0.44,0.67,0.82
ca30,7,1.153939886,1.031977912,0.988835154,0.991394255,0.981244558,0.04,0.04,0.22,0.56,0.69
ca30,10,1.650292398,1.080499385,1.055084874,0.977057882,0.984570013,0.01,0.02,0.02,0.5,0.68
ca30,13,0.980193387,0.991757617,1.006369272,0.954147476,0.989226136,0.01,0.06,0.08,0.32,0.58
ca31,1,1.600215517,1.256802721,0.904790065,0.796551724,0.740474703,0.06,0.09,0.19,0.39,0.69
ca31,4,1.403846154,1.197401161,0.963307864,0.98173327,0.936780533,0.02,0.01,0.29,0.4,0.76
ca31,7,0.691421255,1.029267007,1.001066212,0.998361069,0.959599248,0.15,0.11,0.13,0.38,0.74
ca31,10,1.057857143,1.130981875,1.128182129,1.021107683,1.014957127,0.15,0.07,0.02,0.11,0.35
ca31,13,0.71976593,1.131349857,1.065616196,0.980505826,0.967218893,0.42,0.01,0.04,0.08,0.31
ca32,1,2.555555556,0.895121951,0.677824268,1.021428571,0.933810376,0.01,0.01,0.2,0.22,0.29
ca32,4,1.189716312,1.04695996,0.950972222,1.049633636,1.005302558,0.03,0.02,0.35,0.16,0.38
ca32,7,1.316764133,1.155766254,1.101659292,1.178399378,1.049153055,0.02,0.02,0.03,0.02,0.05
ca32,10,0.598290598,1.109125812,1.039209115,1.036835582,0.963259201,0.02,0.03,0.02,0.02,0.02
ca32,13,1.271758437,1.135193622,1.017881801,1.008721611,1.001913265,0.02,0.03,0.04,0.04,0.05
ca33,1,7.055555556,0.491596639,0.631048387,0.826687117,0.661637931,0.01,0.01,0.12,0.32,0.52
ca33,4,0.993243243,0.837628866,0.867369186,0.935433562,1.024428274,0.01,0.02,0.27,0.44,0.24
ca33,7,1,0.892728905,0.853666245,1.034503632,1.063862928,0.01,0.04,0.25,0.32,0.21
ca33,10,1.5,1.011262799,0.841158841,0.940068493,0.884007353,0.01,0.01,0.49,0.45,0.67
ca33,13,0.694300518,1.012827225,0.874901342,1.065345846,0.999521531,0.01,0.02,0.13,0.19,0.63
ca34,1,2.853741497,0.530405405,0.873333333,1.76,1,0.01,0.01,0.01,0.02,0.01
ca34,4,3.596774194,1.174958541,1.24265645,1.303680982,1.14804723,0.01,0.01,0.02,0.01,0.02
ca34,7,1.569958848,0.859146341,1.177191329,1.117967332,0.995717345,0.01,0.01,0.01,0.01,0.02
ca34,10,0.95862069,0.900092937,1.149635037,1.008592471,0.98490048,0.01,0.01,0.01,0.02,0.02
ca34,13,1.0203125,0.918027433,0.99967887,0.927400468,0.962055071,0.01,0.01,0.02,0.01,0.02
ca35,1,5.438461538,0.653846154,0.717391304,0.92826087,1.097222222,0.01,0.01,0.01,0.01,0.01
ca35,4,1.252358491,1.2,0.964838256,1.177361854,1.234831461,0.01,0.01,0.05,0.01,0.01
ca35,7,1.316425121,1.155256724,0.914194915,1.041304348,0.991704805,0.01,0.01,0.04,0.12,0.02
ca35,10,1.320197044,1.099613153,0.855836237,0.965746421,1.030477759,0.01,0.02,0.1,0.17,0.08
ca35,13,1.223684211,0.905991736,0.844827586,1.067299206,1.165422171,0.01,0.03,0.07,0.06,0.03
ca36,1,2.541666667,1.69047619,0.416666667,0.473684211,0.45,0.16,0.05,0.18,0.28,0.48
ca36,4,1.743902439,0.978873239,0.825221239,0.796416938,0.843930636,0.03,0.36,0.61,0.86,0.87
ca36,7,0.575757576,0.606334842,0.709459459,0.911684783,1.00973236,0.1,0.77,0.91,0.78,0.88
ca36,10,0.041666667,0.661172161,0.927652733,1.04587156,1.064220183,0.29,0.81,0.79,0.8,0.66
ca36,13,0.75,0.643072289,0.962328767,1.055555556,1.186217009,0.28,0.98,0.86,0.75,0.48
ca37,1,1.895833333,0.241935484,1.301724138,-16.5,0.5,0.12,0.46,0.23,0.01,0.03
ca37,4,1.158536585,0.692893401,0.833333333,0.922222222,0.905844156,0.24,0.79,0.9,0.52,0.23
ca37,7,1.74,0.817629179,0.908974359,1.035248042,1.072944297,0.05,0.71,0.87,0.71,0.31
ca37,10,1.308823529,0.795399516,0.919525066,1.342592593,1.35862069,0.04,0.44,0.85,0.53,0.12
ca37,13,0.960526316,0.694793537,0.729698376,1.04851752,1.055288462,0.03,0.84,0.91,0.6,0.36
ca38,1,1.208508403,1.043577982,1.163013699,1.00920184,1.10609278,0.26,0.25,0.08,0.08,0.05
ca38,4,1.075214133,1.051259941,1.153888862,1.033881099,1.028211174,0.16,0.24,0.01,0.06,0.05
ca38,7,0.974653148,1.023826868,1.057423381,0.939111559,1.014184335,0.27,0.32,0.09,0.2,0.06
ca38,10,1.115470852,1.050834049,1.062670675,0.977085294,1.026114395,0.22,0.17,0.05,0.32,0.09
ca38,13,1.162887168,1.026014311,1.011815297,0.938709219,0.998230261,0.15,0.24,0.21,0.62,0.23
ca39,1,1.393410853,1.550955414,0.751730104,0.881475667,0.766346154,0.17,0.03,0.12,0.29,0.37
ca39,4,1.555555556,1.268581081,1.046185372,1.058688388,1.016331426,0.06,0.01,0.03,0.03,0.23
